id_filial,descricao,empresa,desc_empresa,id_produto,id_epi,descricao_produto,id_tamanho,qtde_entrada,saldoestoque,dataentrada
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502326,3,BALACLAVA BRANCA,11,1.000000,-10.000000,2024-05-10 11:25:17.670
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502326,3,BALACLAVA BRANCA,11,1.000000,-12.000000,2024-05-10 11:32:51.600
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502326,3,BALACLAVA BRANCA,11,1.000000,-13.000000,2024-05-10 11:35:40.240
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502326,3,BALACLAVA BRANCA,11,1.000000,-14.000000,2024-05-10 11:39:01.897
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502326,3,BALACLAVA BRANCA,11,1.000000,-15.000000,2024-05-10 11:47:04.257
290,MATEUS SUPERMERCADOS S.A. SUPER QUIXERAMOBIM,2,MATEUS SUPERMERCADOS,361262,80,LUVA DE PU TAM M,3,1.000000,7.000000,2024-05-15 16:21:41.133
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,149369,21,BOTA PVC CANO MEDIO BRANCA TAM 37,17,1.000000,1.000000,2024-05-16 12:04:21.897
285,MATEUS SUPERMERCADOS S.A. SUPER CRATEUS,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,-40.000000,2024-05-16 14:02:39.680
285,MATEUS SUPERMERCADOS S.A. SUPER CRATEUS,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,-41.000000,2024-05-17 19:09:29.570
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,52705,72,LUVA P/FRIO TAM M,3,1.000000,0.000000,2024-06-04 12:27:59.187
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,121.000000,2024-06-04 10:35:26.310
